state_code,Wave,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus, or train)",Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,Been in a room with someone outside of household in the past 24 hours,Been in a room with 5-10 people outside of household in the past 24 hours,Been in a room with 11-50 people outside of household in the past 24 hours,Been in a room with over 50 people outside of household in the past 24 hours
AK,1,14.906530987404542,6.412022010326807,11.133295993280697,1.2722697786750343,5.410836404401929,9.554188412705866,0,15.521246144712006,12.984469020295167,12.256523156429273,15.25198002363835,15.508014023561708,6.22785680969437,1.6880366796809594,0
AL,1,4.835440202419395,2.195769272236465,3.9377608240263853,2.9580738636131274,2.960687957888508,2.3210578297673425,0.6600216174237005,5.08385308518201,4.5255089325699025,4.3619033384631205,5.53769746233015,5.069532125273422,2.6126167991877907,1.0892988964346664,0.9387920845403717
AR,1,5.335476444790915,1.086836646705198,3.8058866828813094,2.8775110586798123,2.264282152031233,1.872869962954132,0.20818957177959052,6.053923589388337,5.871837391432004,4.974477116812507,6.057134527584671,5.4367528349362,3.665716526903745,1.0791754330147219,1.1898954345097204
AZ,1,5.899548050381891,1.163478424014742,2.4629341338434987,2.4069197911061315,3.05669138494934,1.3244949458374642,1.6398885825956913,5.556607535662149,4.958746934812673,4.779269884064828,5.85539981666387,5.632509670189121,3.4405795658239127,0.9704573452890234,2.515537794627252
CA,1,4.270254789722412,1.1482534218884553,2.501408291064173,2.4362338415482223,2.93679421983843,0.8719984182876824,1.6170190414682248,4.085266761907414,3.813677028582792,3.5968604017457935,4.13182532151913,3.850970942272804,1.6683241589229112,0.9053453926497591,0.9601106417986092
CO,1,4.685364967754474,0.22174514336829257,3.037771484441013,2.2283660358465363,1.974687565177737,0.6466416633763288,0.8448781204574255,5.304893614311649,4.963169564991721,4.968668409050943,5.346138818771023,4.608839505873165,1.7888451274634856,1.6423662312645773,0.9704843945540896
CT,1,4.9991982684988105,1.039315894116613,2.9141576045494966,2.1114286983821136,2.5991329666619514,1.207450561908237,0.7194569045355605,5.0213016922756655,4.807015356893005,4.932951177490576,5.773980751598568,4.6309970932458775,1.9271468729248182,0,1.8035671692464248
DC,1,7.130896802048564,2.948155776333094,7.755555717526315,5.126164791963194,8.320337045929529,0.6925384184562092,9.3065809198982,10.628924939991212,9.672334513499921,9.439270595318526,11.968555968075544,11.639275238748573,4.458409760882621,0.39788545549440574,0
DE,1,5.451779971418694,0.4815549786325169,4.620340047106759,3.265502895970776,3.7217715450351467,0.36943580999868075,1.7070613492050994,6.546618060330862,5.614874259946423,5.971593152324329,7.0007084849196275,6.554577068834155,3.6289758484009864,0.9861274523197139,0.7183726347794379
FL,1,4.652620856848503,2.064356948721556,2.774185347373408,2.136536526353374,2.755766589565588,2.0692355341307884,1.9424243350708652,4.687434462864539,4.27555500064794,4.127990451905914,5.0415650546227235,4.02974048078047,1.9460574569453448,0.7290129317668448,0.4473440175088841
GA,1,4.544747869556089,1.256688427834582,3.0938106452213425,2.6882185479204885,2.706270508832986,0.726432043032964,1.2430512983812045,4.7909146492986,4.387060381276501,4.042644736913767,5.02291321734739,4.2755777413787435,2.404809729340707,0.9117301067858783,1.1573480219531578
HI,1,7.379656444427533,0,4.762976313716,2.9092020120277633,3.5465032897207567,0.8020974514452857,2.044717227556873,7.60110434271337,6.932031810784292,5.546111946653289,7.352370085235593,6.612809202991817,3.61696713679163,3.484612317110777,1.5411457928286063
IA,1,4.835072630475137,1.5320929280379327,2.7342712583772455,1.7087836991215972,2.723714317171537,0.9816515312510863,0.822787565047027,5.259767396279559,4.906742550978428,4.832871829587685,5.096533306967748,4.866831052099856,2.673747266366022,0.8168647401670263,0.9838886135254664
ID,1,5.809121648109094,1.1073216971342696,4.24783674445821,3.109376809951985,3.853393635051789,1.554775999076276,2.1736613007043375,6.382437419766613,6.01746384580646,5.730956868336213,5.80559813614795,5.926406982362313,2.3278599117857306,2.416144462597366,0.812480176404742
IL,1,4.979572363086317,1.9172745094663337,3.1159995493648958,2.5861228060770145,2.0293126183324888,1.7121463975044764,1.265124977803932,5.574120726018727,5.221864024157217,4.693756827859096,5.592568620664792,4.4594545454745464,2.5381029885738657,1.0933610884722305,0.5307810089867157
IN,1,5.224414006219617,1.6102129627495023,3.2076874256479213,2.73460609781987,2.3213082074372555,0.8296844281289617,0.9936349570003311,5.224404950523785,4.75399303773652,4.379826578583709,5.422423639048817,4.731755819861202,3.293303094013376,0.8589523002387172,1.0500414276024739
KS,1,5.3148415151057895,1.710666386443293,3.8923158907220414,2.4881303864354054,2.5595498331581332,0.4178573621351452,0.9090645872416901,5.729242137089637,5.516045518373584,4.066656277062375,6.011578006548754,5.357798436344849,2.1565644139876303,2.010024444463107,0.8196776797202603
KY,1,4.793816197100842,1.2536009461282058,2.754939687756671,2.2997846181788324,1.9279049717139383,1.7739226661570096,1.2111702159559077,4.943686711369402,4.781262942487848,4.12693896392906,5.258384563267473,4.875592778929363,2.310249376699775,1.0478576235047439,0.22230075905129837
LA,1,5.283751492481426,0.7523911888771191,3.9961738023139737,2.4870010398147904,3.4510933085570823,1.2364363771259472,2.4413861686118463,5.764159490906058,5.568652123866403,5.214307617179562,6.06494040746265,5.284984228334475,3.0024931702474142,1.6219887011851566,0.2772932535940495
MA,1,4.324607362852965,0.8689326594353453,2.7068781293901423,2.2670632802207864,1.8106188358134516,0.7370334296503761,1.7387291549728092,4.8229507573544135,4.527359530852276,4.125541166997491,5.017318795451917,4.278373946059716,2.8305853473448868,0.8888414890370409,0.3231421348391323
MD,1,5.591465643347633,0.8728046666313782,2.421584636607955,2.9047466847833623,2.799545063466882,1.7664515424685079,1.3976223334998805,5.362588498590991,4.343676732390652,5.10101984362197,5.794101908013545,5.27456618888312,2.756425625783135,0.9597184161356663,0.4908196978114273
ME,1,5.395593998761369,1.4345148544605133,3.1385188872208647,1.8449437034733327,1.8602718017313415,0.6343773278794138,0.9712656162977353,5.796893806496156,4.557681852319748,5.120544028156945,6.1149394846616865,5.192936945651122,2.027661362451532,1.3055378149593833,0.8783575346285407
MI,1,4.220645109428009,0.8048734506898906,1.8734401525364406,1.5028839118713873,1.901843339028392,0.867342631867759,0.7329620299163077,4.2040717915271175,3.7946918420003652,3.9931000567238737,4.908744920809487,3.928641296991888,1.5198777013344023,0.8108997768656583,0.7136488814064583
MN,1,4.5896122248885,0.40200611381448376,3.1147140582775577,2.1150193009007516,1.9294742447266502,0,1.749314721414682,4.826954842244121,4.378415666521408,4.381763173149151,5.051120059720167,4.55708379963064,2.5643648131110592,0.985533540590355,0.8847727175069736
MO,1,4.989724869877823,0.9482769048975902,3.992597158023109,2.624784329083238,2.588291193231613,0.530629773542126,0.5277754694483167,5.52059786858524,4.773868086444502,4.38422920363462,5.409127113780592,5.14532810197745,3.2428140438708932,1.8927673115248502,1.2393245332744403
MS,1,6.108844289052527,2.021589873544262,4.667209645468763,3.289310847223092,2.371370977020531,1.7131481107869688,0.18537337158953254,6.5459168552059195,6.493061415601548,4.981319473691727,6.600794989579458,5.510692011000617,2.8283995778226294,1.4228083192777619,1.4059111912625384
MT,1,7.036623736217456,1.2296494591574212,5.56416464488058,3.640794717474903,5.074174592788838,2.4722857483760796,2.2757786819788706,7.421504559124651,7.113858188216269,7.150164140723136,6.771573236733087,7.3603027690795555,4.43928245822436,2.3707977029372316,0
NC,1,4.5097349470856765,0.747830806996246,4.329868688723322,3.11176041831686,4.471772603573814,0.9915692036533494,2.404087806540934,5.383401078462252,5.219326134949685,3.6909414057882426,5.440852037104363,4.926512141027522,2.7902387373525093,1.155910537319983,0.44605232838572534
ND,1,12.362386184478462,2.409361216778643,12.093468163881488,7.9605797854374964,3.8793772300187186,0.7018907139352375,0,12.07194854941565,12.374978590484009,12.472325167635674,9.958005021317078,12.114653116180254,9.364616525576787,3.2403791748508617,0.790763483769729
NE,1,6.201343496551513,2.3503056721334286,4.4551263934628516,2.5363786358746805,3.031649248807715,2.2644181602850026,1.27175157230641,6.542509480750726,6.271904082484915,5.7816626610975534,6.574567476523618,6.315576716579676,2.8981743254058023,2.044505535620335,0.6250179504537486
NH,1,5.436905445606423,0.5605081858309979,2.9988268923747405,3.1555399164515805,1.8132949670416272,0.1478905815796144,0.6208316322161835,5.893842977624819,5.332986586362179,5.11945098569746,6.319612217927014,5.49679939959795,2.9843632016386183,2.7071761478044407,0.7462994000044157
NJ,1,4.43588987150683,0.9029109010689235,3.3713756987754118,2.321686470768459,3.075483118563865,0.6397531132756213,2.1232855529377073,4.392791852714283,4.001578082563357,4.017589078745352,4.287051997544855,4.100671297133926,2.254865985320688,0.8696340085069201,0.35847770661935785
NM,1,11.742417575972626,3.0123053916655476,9.223500481592572,5.3360713026991196,2.3222254957684654,4.933752922516978,1.6956360984196448,12.086750304292211,8.81491059665482,10.247890309509385,12.711746878853035,12.61475735436176,9.006036885154696,0.5939296695272652,0.46185927214616657
NV,1,5.502195972839363,0.5132653801207138,3.452970779687307,2.9514441524083685,2.3840440345553544,1.1608715863185726,2.310218984687566,5.857855080030753,4.803479537503319,3.6448453684410653,6.234718951985496,4.307170576363201,2.110486500485701,0.8477690329697454,1.3371250742904908
NY,1,2.9814865312761336,0.8328390567048003,1.9113558012944531,1.7177183475917177,1.9063155473627869,0.8950730228060185,1.2965322086275461,3.8990121018064916,3.814126355121379,3.61888566075058,4.070427119624658,4.03742447483353,1.676250752816055,1.0674781042191646,0.42921198031004215
OH,1,4.84943802731613,0.6610893205205192,2.5154712188159283,2.488468343109295,2.199566435068752,1.0824898388744277,1.1855473411309112,4.685882242062451,4.502261415202075,4.13278222503508,4.949443928858617,4.384773775801595,2.4768566191017496,0.9716971754941359,0.5448106722282838
OK,1,5.317938563155531,0.7927148904970127,4.198996938619177,2.862802879559738,2.8181783690133244,1.8533887883515163,1.3023927974842608,5.673815923664118,5.443009945515173,4.652341745193883,5.5918713744685276,5.445864110716189,2.5299933113585387,2.0825512098105925,1.2720203259184113
OR,1,4.673885436716217,0.32100821665879065,3.613230819850033,2.5144999839049396,1.4184741112054173,1.0818676945988734,1.7183676200129177,5.219350420857979,4.383401516790448,4.607653814853077,5.288710596570861,4.52205691678139,1.7605613213794897,1.030878762080243,1.80841227831777
PA,1,3.715281692215475,0.7923672948188725,2.486201341760096,1.5525407068096204,2.179891863164089,0.6985597873071105,1.481189554915901,4.435128142762273,4.246532535884687,3.994702933693951,4.598678339897368,3.9499910622495014,2.134985509957172,1.0336479813547559,0.5060353651891067
RI,1,5.762146853410179,2.0735887375702147,2.315376155671327,3.4074287501785823,2.6284694209527393,2.687025926485741,1.8785161044806598,5.803203811741165,5.760878411486292,6.2076759362708565,6.812814252174465,5.365860690025491,2.781758018434638,0.2868772558593232,0.7472990226792107
SC,1,5.096221385513962,0.4825784156789966,3.374842601721349,2.225837991664255,2.7012652807308513,1.0375348185805333,0.9527373812958462,5.157591130767688,4.7603324538891405,4.343342136612719,5.4724351997319625,5.0338898091434965,2.183490826456371,0.9233706481752536,0.946678306342673
SD,1,8.905069462717437,1.1796029183971033,3.31004353282993,2.919226831027373,3.5818882880339014,0.23339772179367912,0,9.638546527148344,9.112225500828762,8.805511893840261,8.493132148774487,9.066661472362131,4.334215819320075,1.6153464858559725,1.267489808374939
TN,1,5.458260755189081,1.335695747328166,2.6125534511088717,2.2000809459189283,2.9226617265110644,1.066407215562846,0.9660447783851236,5.194129049459739,4.379233058331565,3.991385882602547,5.552336898641645,5.096560104353451,2.738237159177822,1.1175022649810995,0.9018755118905595
TX,1,4.543424106002705,0.9315186158441585,3.30486222853782,2.548386043639463,3.113574585079475,0.8646167371334571,1.1900315248277993,4.8194788719937405,4.6164109697738285,3.8463585182257227,5.062876837499855,4.389490748138711,2.2540674578410314,0.8469752427174674,1.608588955057568
UT,1,5.785930264120712,1.3459184716205683,4.503326357868894,3.6984528285529628,3.7144086573022066,1.9516094818823642,3.0388312104303465,5.894516317264508,5.5441354151229545,4.845673212448698,5.6374338995460365,5.373915148252866,3.3294183702100066,1.8832315362550178,0.11873910628367564
