wave,visit_1,visit_2,visit_4,visit_8,visit_9,visit_10,visit_12,cov_beh_1,cov_beh_2,cov_beh_3,cov_beh_5,event
1,0,0,0,0,0,0,0,69,93,106,116,39
2,0,0,0,0,0,0,0,86,99,100,158,59
3,0,0,0,0,0,0,0,63,96,95,133,36
5,0,0,0,0,0,0,0,59,95,104,133,41
7,0,0,0,0,0,0,0,57,81,87,113,47
9,0,0,0,0,0,0,0,50,74,69,78,29
10,0,0,0,0,0,0,0,46,84,62,104,33
11,1663,1663,1663,1663,1663,1663,1663,48,70,76,69,19
12,2412,2412,2412,2412,2412,2412,2412,28,41,59,59,20
13,3362,3362,3362,3362,3362,3362,3362,63,88,94,106,27
14,0,0,0,0,0,0,0,58,82,78,115,26
16,0,0,0,0,0,0,0,37,57,57,70,31
17,0,0,0,0,0,0,0,30,71,72,79,24
18,0,0,0,0,0,0,0,35,54,73,74,22
19,0,0,0,0,0,0,0,50,95,94,121,27
20,0,0,0,0,0,0,0,58,95,99,105,27
21,0,0,0,0,0,0,0,50,103,99,103,29
22,0,0,0,0,0,0,0,63,96,99,87,25
23,0,0,0,0,0,0,0,40,89,88,61,14
