state_code,Wave,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus, or train)",Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,People out of household been in a room with
AK,1,103,103,103,103,103,103,103,103,103,103,103,103
AL,1,465,465,465,465,465,465,465,464,462,464,462,465
AR,1,460,460,460,460,460,460,460,459,456,456,456,458
AZ,1,484,484,484,484,484,484,484,481,477,482,481,484
CA,1,811,811,811,811,811,811,811,809,811,807,809,806
CO,1,470,470,470,470,470,470,470,470,470,470,469,469
CT,1,349,349,349,349,349,349,349,349,348,347,346,348
DC,1,126,126,126,126,126,126,126,126,125,125,126,126
DE,1,336,336,336,336,336,336,336,336,336,334,335,333
FL,1,616,616,616,616,616,616,616,615,615,612,615,614
GA,1,514,514,514,514,514,514,514,514,513,512,510,514
HI,1,278,278,278,278,278,278,278,276,276,276,275,278
IA,1,468,468,468,468,468,468,468,466,460,462,463,468
ID,1,349,349,349,349,349,349,349,347,348,345,346,349
IL,1,518,518,518,518,518,518,518,516,516,515,516,517
IN,1,491,491,491,491,491,491,491,489,489,489,489,491
KS,1,475,475,475,475,475,475,475,473,470,470,471,475
KY,1,458,458,458,458,458,458,458,454,454,455,458,458
LA,1,468,468,468,468,468,468,468,467,468,466,465,467
MA,1,488,488,488,488,488,488,488,487,486,487,485,487
MD,1,404,404,404,404,404,404,404,403,402,400,403,402
ME,1,341,341,341,341,341,341,341,341,340,340,339,340
MI,1,525,525,525,525,525,525,525,521,522,523,523,524
MN,1,475,475,475,475,475,475,475,475,474,473,474,474
MO,1,462,462,462,462,462,462,462,459,462,461,458,461
MS,1,437,437,437,437,437,437,437,436,437,435,429,437
MT,1,231,231,231,231,231,231,231,231,231,229,230,231
NC,1,512,512,512,512,512,512,512,512,511,512,509,511
ND,1,176,176,176,176,176,176,176,176,176,176,176,176
NE,1,362,362,362,362,362,362,362,359,359,359,361,361
NH,1,375,375,375,375,375,375,375,375,372,374,375,375
NJ,1,540,540,540,540,540,540,540,535,539,539,539,537
NM,1,136,136,136,136,136,136,136,135,136,136,136,136
NV,1,473,473,473,473,473,473,473,471,472,472,472,472
NY,1,640,640,640,640,640,640,640,637,637,638,635,639
OH,1,503,503,503,503,503,503,503,500,499,501,503,503
OK,1,459,459,459,459,459,459,459,458,458,457,456,457
OR,1,475,475,475,475,475,475,475,474,474,475,475,474
PA,1,524,524,524,524,524,524,524,523,524,523,520,522
RI,1,314,314,314,314,314,314,314,314,314,313,311,313
SC,1,478,478,478,478,478,478,478,477,477,473,473,478
SD,1,193,193,193,193,193,193,193,193,193,191,193,193
TN,1,472,472,472,472,472,472,472,471,468,469,470,472
TX,1,614,614,614,614,614,614,614,609,609,608,606,613
UT,1,437,437,437,437,437,437,437,436,436,435,435,436
VA,1,524,524,524,524,524,524,524,519,518,520,518,524
VT,1,189,189,189,189,189,189,189,189,187,189,188,189
WA,1,398,398,398,398,398,398,398,398,397,396,397,397
WI,1,474,474,474,474,474,474,474,473,471,471,472,474
WV,1,370,370,370,370,370,370,370,370,369,369,368,370
WY,1,165,165,165,165,165,165,165,165,165,165,165,165
AK,2,173,173,173,173,173,173,173,172,173,173,173,173
AL,2,436,436,436,436,436,436,436,433,435,435,433,435
AR,2,407,407,407,407,407,407,407,406,406,404,404,407
AZ,2,380,380,380,380,380,380,380,378,380,380,376,379
CA,2,976,976,976,976,976,976,976,975,972,970,968,972
CO,2,443,443,443,443,443,443,443,441,442,441,442,443
CT,2,400,400,400,400,400,400,400,400,397,400,397,399
DC,2,208,208,208,208,208,208,208,208,207,208,208,208
DE,2,361,361,361,361,361,361,361,361,359,357,358,360
FL,2,853,853,853,853,853,853,853,849,850,850,844,851
GA,2,620,620,620,620,620,620,620,616,615,618,617,618
