State,Code,Political_aff
Alabama,AL,REP
Alaska,AK,REP
Arizona,AZ,REP
Arkansas,AR,REP
California,CA,DEM
Colorado,CO,SW
Connecticut,CT,DEM
Delaware,DE,DEM
District of Columbia,DC,DEM
Florida,FL,SW
Georgia,GA,REP
Hawaii,HI,DEM
Idaho,ID,REP
Illinois,IL,DEM
Indiana,IN,REP
Iowa,IA,SW
Kansas,KS,REP
Kentucky,KY,REP
Louisiana,LA,REP
Maine,ME,DEM
Maryland,MD,DEM
Massachusetts,MA,DEM
Michigan,MI,REP
Minnesota,MN,SW
Mississippi,MS,REP
Missouri,MO,REP
Montana,MT,REP
Nebraska,NE,REP
Nevada,NV,SW
New Hampshire,NH,SW
New Jersey,NJ,DEM
New Mexico,NM,DEM
New York,NY,DEM
North Carolina,NC,REP
North Dakota,ND,REP
Ohio,OH,SW
Oklahoma,OK,REP
Oregon,OR,DEM
Pennsylvania,PA,SW
Rhode Island,RI,DEM
South Carolina,SC,REP
South Dakota,SD,REP
Tennessee,TN,REP
Texas,TX,REP
Utah,UT,REP
Vermont,VT,DEM
Virginia,VA,SW
Washington,WA,DEM
West Virginia,WV,REP
Wisconsin,WI,SW
Wyoming,WY,REP
