wave,end_date,deaths,hosps,cases,avoid_contact,avoid_crowds,wash_hands,wear_mask,work,gym,friend,cafe,doctor,church,transit,room,room_5_10,room_11_50,room_50_plus,date_num
1,2020-04-30,61761,NA,884975,68.76821889376757,75.22635003930006,80.35623370812455,55.96375511558088,25.707795774555176,1.363199014760873,8.3134925737826,5.7785803556578825,5.544638335430271,1.29027286916876,1.81913006607638,26.25710517857541,5.150296242526012,1.4200781255137762,0.8262150174283805,18382
interpolation,2020-05-31,40220,NA,721264,58.00638892628331,67.88959701239065,76.73295978674984,63.93478328421671,29.297345529021108,2.75710682334736,14.68589932380965,9.4775469389532,8.474559935621697,2.8678305406814664,1.9979998436653383,34.935406410210256,8.393935708898635,2.6227723158615635,0.9550546211478292,18413
interpolation,2020-06-30,21832,NA,850218,49.565822488237544,60.1566063966863,73.61170246557505,65.42645489165078,32.71610925108197,5.128478474886961,18.342002997305094,15.131982146228914,11.476262876673864,5.031782213729627,3.0810338697305095,42.95894771952686,10.660357398125782,4.083404385559199,1.7382330550806038,18443
interpolation,2020-07-31,24873,NA,1908607,53.06903232877972,62.64193205634525,74.82620491390095,75.19452110675194,32.982849317197385,5.6748755705106335,16.451015717056,13.89158118780689,11.090294550939184,4.841544562045158,2.6447050609386182,40.76838846601829,9.952479098032342,3.518245947467711,1.6157303146831443,18474
interpolation,2020-08-31,28823,395796,1455584,49.033238250876565,60.890547855979754,74.91923290607743,76.06443534450696,35.24010618334345,5.31321606487724,18.102551037868466,15.37826597617692,12.211401516290442,5.476745001140046,2.886539253203309,43.34836951533091,10.377767100586878,4.180108590538688,1.8392937994674492,18505
10,2020-09-30,22418,313671,1200436,48.02814569538872,58.45921403543205,73.9387478570817,75.28751818110645,38.06487680078788,6.318704822171487,17.26243177993762,15.789558396825178,12.200085887044002,5.152197695364555,3.0581921381399404,45.47758576991941,11.263323051358796,4.4164920406416694,1.9571344160380264,18535
interpolation,2020-10-31,23173,486663,1926626,47.37298336105463,56.90351381546281,72.14965411793087,75.38789663777088,38.796456994320224,7.345970133098399,16.915129665703258,16.099182088607222,13.100614658209771,6.664645530638133,3.3206079642626607,44.652933009354186,10.922430528096058,4.7564038228392205,1.8925787523808864,18566
13,2020-11-30,39566,928413,4383929,49.47375541975537,58.59232506179812,71.09192675139461,77.75794390916484,36.40524934073659,7.638603560150206,16.443619209734866,15.556128741859348,13.12798419669176,5.897816395606973,3.6412262231245087,42.57690180385342,10.21876790737464,3.6484841744550423,1.662643423710993,18596
interpolation,2020-12-31,76437,1353090,6384766,52.311861797536224,60.01291480956334,72.14979452796928,80.56323311659827,32.728849092138844,6.189456310658633,14.964421417863967,12.979352574883084,10.746773431935262,5.152408849523255,3.3509876903229188,39.74675282903152,9.222072501234168,3.2326044914495484,1.4973955300440065,18627
interpolation,2021-01-31,93723,1316109,6178895,52.13442322617697,59.283437594256704,72.03246800278063,80.79944705395815,32.265714958635684,6.068458876283711,14.51576873866582,12.965439211403728,9.80691830228524,5.302785346333174,3.172619045451956,39.65447008832895,8.891338154916179,3.718660373446915,1.6461569053856568,18658
