Wave,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus, or train)",Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,Been in a room with someone outside of household in the past 24 hours,Been in a room with 5-10 people outside of household in the past 24 hours,Been in a room with 11-50 people outside of household in the past 24 hours,Been in a room with over 50 people outside of household in the past 24 hours,Start_Date,End_Date
1,25.707795774555176,1.363199014760873,8.3134925737826,5.7785803556578825,5.544638335430271,1.29027286916876,1.8191300660763798,68.76821889376757,75.22635003930006,80.35623370812455,55.96375511558088,26.25710517857541,5.150296242526012,1.4200781255137762,0.8262150174283805,2020-04-16T22:30:32Z,2020-04-30T19:23:44Z
2,28.164279182483533,1.8008160112461966,12.082490211296735,6.78700339529078,6.448708235673013,2.2506562465053768,1.9942053794430612,62.23217413824237,71.53339204296417,77.89575176040721,62.55303456873248,30.044499431786665,6.754818947441583,1.766148259048571,0.8406421960060438,2020-05-01T22:28:36Z,2020-05-21T21:26:07Z
3,30.894362900103783,2.8264893278353806,15.986063901636077,10.080881063370516,9.12441281773788,3.1170159420791155,2.0665139912523145,56.456664548527755,66.47965616377347,77.09418352278587,63.38944233539602,36.17917995308333,8.907666583640715,2.746775292834538,1.0441790710853014,2020-05-16T09:04:50Z,2020-06-01T10:02:23Z
5,33.953885717048074,5.197794020693855,19.573231862297703,15.619080611916564,12.081658094224606,5.020206058034612,3.1896458826450065,48.965777243356364,59.8047667947689,74.49960698641297,64.64161967027889,43.9198121460989,10.903107011671299,4.3642584999712835,1.74946238064753,2020-06-12T21:05:00Z,2020-06-28T21:12:54Z
7,35.01198026627421,6.186713125764231,17.80393080602257,14.079766495889986,12.286970179662216,4.7603073754298455,2.7866608011851937,52.055416521457296,61.561422534161906,75.16099051709297,74.38088837242748,42.04798167190783,10.205337171019456,3.723715401130503,1.5300949668521526,2020-07-10T20:58:13Z,2020-07-26T21:35:30Z
9,37.31338905390012,5.584179547666634,19.665464441735644,15.976051584028712,13.52460406338906,5.569147245159816,3.0538000252511597,48.04043872707472,60.3388990585923,75.78466751617896,76.21636860682224,44.48737415143652,10.740607582238557,4.249344995015116,1.8627093288768521,2020-08-07T17:47:38Z,2020-08-26T06:21:08Z
10,40.085385141842835,6.657090205816596,19.549671916653427,16.225273971972566,12.502170214945805,5.43599083399948,3.098459935334909,47.76514839437141,57.50660514844641,74.8234638344948,75.24356114240236,47.128435252467575,11.386854683381866,4.696370610613151,2.081845082316857,2020-09-04T11:42:27Z,2020-09-30T19:14:11Z
11,43.912573661400494,7.523621520405975,18.816138503264668,16.76686319551548,16.220762076748123,6.540241993125682,3.429140216075019,46.46944436849605,56.07395171639994,74.02428394353421,75.12496669812995,47.36887849918801,11.556715727492424,4.763661933815756,1.8665553808104178,2020-10-02T14:43:33Z,2020-10-23T14:38:21Z
12,38.969074711371455,8.914531890618994,19.287361868163476,17.657830633384243,12.577479403838495,6.12010214455309,3.483937750778739,46.49238204760584,55.04108825857199,71.0355341485652,74.06220885709605,46.163028423540766,11.362674039060867,4.904529688074766,2.0220097867690927,2020-10-23T12:39:08Z,2020-11-14T13:31:37Z
13,38.163775966403115,8.006135396261156,17.78740080729902,16.52035530206907,14.001005451972784,6.060138656905619,3.689164258290558,48.83051886214839,57.438383040435234,71.92874959938761,77.848469520608,43.58706878709826,10.414903072329357,3.828353159032956,1.841395648766295,2020-11-03T13:12:09Z,2020-11-30T22:54:03Z
14,33.310409090552106,6.214144826171126,15.86278233911996,13.082996542801112,10.67358092959337,5.1203531879822,3.3071399384277242,51.76913942876676,58.95355842545388,72.88476929556171,81.27506084564342,39.72085389891122,9.135880297147933,3.444605464126775,1.281253757577271,2020-12-16T16:43:28Z,2021-01-11T01:58:32Z
16,37.430120060000796,7.651831941669792,16.641030064126944,15.700542989742045,12.470348194211194,6.392167544403097,3.5887542273020006,49.015954983959624,56.41160609393042,71.83567026763463,80.03038604709933,42.641561328336344,9.613521286332736,4.426492788976534,1.8877126299771605,2021-02-05T11:00:55Z,2021-02-28T23:45:22Z
17,40.00211227356913,10.306014424336169,21.194227290913194,21.69285599145001,13.360944545487225,8.067692764260391,3.8772553184188694,41.64680780043206,48.67470781851862,69.51516251305674,74.87277597096923,49.468989645785264,11.948803216739538,5.354253864346018,2.7263189794659124,2021-04-01T18:00:33Z,2021-05-03T06:20:28Z
18,40.574195913481994,13.194029896362947,26.983885621220992,26.60452181270369,15.535063868574275,9.922862750817943,5.3719141641611,28.9821055386343,36.47373183131117,65.02144382689222,48.68764414003655,53.96453920194168,13.873867403836432,6.8106970285466115,3.599714328419407,2021-06-09T14:24:43Z,2021-07-15T14:32:52Z
19,40.47826212346076,11.191503854317606,24.346522193284343,24.962068955767503,14.603195289050502,9.255662975133745,5.30680296877358,34.835987459204034,43.02268579323501,67.33109410348605,56.78807839571463,52.685396055905684,13.291567698316728,7.110448064083856,3.765791618591578,2021-08-26T13:48:30Z,2021-09-28T15:35:01Z
20,41.94990297144908,12.896587612743968,26.9800419377161,26.74204718559355,13.810739838194555,9.704093676337362,4.892016304751112,28.432289176356967,35.928260043972216,65.1044093001511,51.28972790651578,57.73835690942458,15.070862275078298,8.491540346044273,4.292035384232076,2021-11-03T07:03:27Z,2021-12-02T21:49:38Z
21,36.35983268579081,9.583553012011997,23.287510943925867,21.3404654504299,12.765513807170892,8.818989936703863,4.53477337826202,33.72851591612754,41.17890706357026,65.3170367787307,56.903435309372426,51.95758302032163,13.269165907070999,6.731311841605814,3.531365975224695,2021-12-22T18:33:39Z,2022-01-24T13:27:40Z
22,43.4544450005815,14.076614946041824,28.077323324572124,29.624934399168488,16.73004097615768,10.998996470547702,5.645865544171778,20.66837456191414,27.055451564030964,61.05131609960034,38.839465352671816,59.32128217664187,15.165598093519167,10.391017955148643,5.855980681894432,2022-03-02T20:55:07Z,2022-04-09T03:28:39Z
23,40.88711209165787,12.885723012548933,28.265871247042185,28.825794650723125,14.765898007059247,10.498277309613112,5.699768513857114,22.25270065000956,27.708573535767872,59.55170726339906,32.25098022838233,57.52729240064321,15.520717985920657,9.165516759524804,5.185973188092735,2022-06-08T19:16:16Z,2022-07-06T07:39:59Z
24,43.364940524634775,13.023082162499025,28.423038439769265,29.320695723021846,15.366624480178206,11.377056069933985,6.255168735256804,21.681461993358038,27.669711465863,59.626302705010325,29.349593274592873,59.3458685921437,15.512317234806922,9.246779988444947,5.5459466788519,2022-08-11T17:40:53Z,2022-09-11T11:07:25Z
25,48.05387915577337,14.592039363408949,31.739917014037726,32.676852819481184,18.613655187316986,12.487065308144537,7.1394527312958465,21.76322455409856,27.338364653536935,60.5083252850934,26.66418538246512,61.01492149610086,16.342335159084417,9.614432152352443,5.801511382689887,2022-10-06T02:16:11Z,2022-11-09T18:47:29Z
26,42.98382995712684,14.65676081085327,28.49698351320048,28.315802632181892,14.542475960751219,10.353732895647964,6.064649769140359,22.38722284127626,28.014039446715543,59.114441876149684,26.33202101815369,57.40735729713986,14.828789826766844,8.369630309599755,5.17552888752347,2022-12-22T12:52:18Z,2023-01-17T17:40:21Z
