state_code,visit_1,visit_2,visit_4,visit_8,visit_9,visit_10,visit_12,cov_beh_1,cov_beh_2,cov_beh_3,cov_beh_5,event
AK,10,10,10,10,10,10,10,8,8,8,8,8
AL,0,0,0,0,0,0,0,0,0,0,0,0
AR,0,0,0,0,0,0,0,0,0,0,0,0
AZ,0,0,0,0,0,0,0,0,0,0,0,0
CA,0,0,0,0,0,0,0,0,0,0,0,0
CO,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,0,0,0,0,0,0,0,0,0,0,0
DC,5,5,5,5,5,5,5,2,2,2,2,2
DE,0,0,0,0,0,0,0,0,0,0,0,0
FL,0,0,0,0,0,0,0,0,0,0,0,0
GA,0,0,0,0,0,0,0,0,0,0,0,0
HI,2,2,2,2,2,2,2,0,0,0,0,0
IA,0,0,0,0,0,0,0,0,0,0,0,0
ID,0,0,0,0,0,0,0,0,0,0,0,0
IL,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,0,0,0,0,0,0,0,0,0,0
KS,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,0,0,0,0,0,0,0,0,0,0,0
LA,0,0,0,0,0,0,0,0,0,0,0,0
MA,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,0,0,0,0,0,0,0
ME,2,2,2,2,2,2,2,0,0,0,0,0
MI,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,0,0,0,0,0,0,0,0,0,0,0
MO,0,0,0,0,0,0,0,0,0,0,0,0
MS,0,0,0,0,0,0,0,0,0,0,0,0
MT,3,3,3,3,3,3,3,0,0,0,0,0
NC,0,0,0,0,0,0,0,0,0,0,0,0
ND,5,5,5,5,5,5,5,3,3,3,3,2
NE,1,1,1,1,1,1,1,1,1,1,1,1
NH,0,0,0,0,0,0,0,0,0,0,0,0
NJ,0,0,0,0,0,0,0,0,0,0,0,0
NM,2,2,2,2,2,2,2,2,2,2,2,2
NV,0,0,0,0,0,0,0,0,0,0,0,0
NY,0,0,0,0,0,0,0,0,0,0,0,0
OH,0,0,0,0,0,0,0,0,0,0,0,0
OK,0,0,0,0,0,0,0,0,0,0,0,0
OR,0,0,0,0,0,0,0,0,0,0,0,0
PA,0,0,0,0,0,0,0,0,0,0,0,0
RI,4,4,4,4,4,4,4,1,1,1,1,1
SC,0,0,0,0,0,0,0,0,0,0,0,0
SD,6,6,6,6,6,6,6,3,3,3,3,3
TN,0,0,0,0,0,0,0,0,0,0,0,0
TX,0,0,0,0,0,0,0,0,0,0,0,0
UT,1,1,1,1,1,1,1,1,1,1,1,1
VA,0,0,0,0,0,0,0,0,0,0,0,0
VT,7,7,7,7,7,7,7,5,5,5,4,4
WA,0,0,0,0,0,0,0,0,0,0,0,0
WI,0,0,0,0,0,0,0,0,0,0,0,0
WV,1,1,1,1,1,1,1,0,0,0,0,0
WY,10,10,10,10,10,10,10,8,8,8,8,8
