Wave,state_code,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus, or train)",Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,Been in a room with someone outside of household in the past 24 hours,Been in a room with 5-10 people outside of household in the past 24 hours,Been in a room with 11-50 people outside of household in the past 24 hours,Been in a room with over 50 people outside of household in the past 24 hours
1,National,26 (1),1 (0),8 (0),6 (0),6 (0),1 (0),2 (0),69 (1),75 (1),80 (1),56 (1),26 (1),5 (0),1 (0),1 (0)
1,AK,28 (15),3 (6),17 (11),1 (1),4 (5),5 (10),0 (0),51 (16),71 (13),77 (12),46 (15),44 (16),5 (6),1 (2),0 (0)
1,AL,26 (5),3 (2),11 (4),8 (3),7 (3),3 (2),0 (1),68 (5),76 (5),81 (4),52 (6),31 (5),7 (3),1 (1),1 (1)
1,AR,29 (5),1 (1),12 (4),5 (3),6 (2),2 (2),0 (0),58 (6),68 (6),81 (5),44 (6),31 (5),8 (4),1 (1),1 (1)
1,AZ,32 (6),1 (1),6 (2),6 (2),7 (3),2 (1),3 (2),65 (6),71 (5),80 (5),50 (6),33 (6),9 (3),1 (1),3 (3)
1,CA,25 (4),2 (1),7 (3),8 (2),7 (3),1 (1),2 (2),76 (4),79 (4),80 (4),73 (4),21 (4),4 (2),1 (1),1 (1)
1,CO,24 (5),0 (0),6 (3),6 (2),4 (2),1 (1),1 (1),64 (5),72 (5),72 (5),56 (5),25 (5),4 (2),2 (2),1 (1)
1,CT,23 (5),1 (1),6 (3),4 (2),6 (3),1 (1),1 (1),76 (5),80 (5),81 (5),64 (6),22 (5),3 (2),0 (0),2 (2)
1,DC,16 (7),4 (3),11 (8),5 (5),9 (8),0 (1),10 (9),75 (11),81 (10),81 (9),70 (12),29 (12),5 (4),0 (0),0 (0)
1,DE,21 (5),0 (0),9 (5),4 (3),7 (4),0 (0),2 (2),72 (7),79 (6),80 (6),63 (7),27 (7),6 (4),1 (1),0 (1)
1,FL,21 (5),2 (2),7 (3),5 (2),5 (3),2 (2),3 (2),74 (5),77 (4),82 (4),62 (5),21 (4),4 (2),1 (1),0 (0)
1,GA,26 (5),2 (1),10 (3),7 (3),6 (3),1 (1),2 (1),68 (5),75 (4),81 (4),56 (5),24 (4),6 (2),1 (1),1 (1)
1,HI,32 (7),0 (0),9 (5),4 (3),7 (4),1 (1),2 (2),67 (8),77 (7),84 (6),73 (7),25 (7),7 (4),2 (3),1 (2)
1,IA,31 (5),1 (2),8 (3),4 (2),7 (3),1 (1),1 (1),60 (5),69 (5),74 (5),36 (5),32 (5),6 (3),1 (1),1 (1)
1,ID,33 (6),1 (1),12 (4),6 (3),7 (4),1 (2),2 (2),54 (6),67 (6),74 (6),30 (6),32 (6),5 (2),3 (2),1 (1)
1,IL,25 (5),2 (2),7 (3),6 (3),3 (2),1 (2),2 (1),66 (6),73 (5),81 (5),53 (6),21 (4),5 (3),2 (1),1 (1)
1,IN,30 (5),1 (2),9 (3),7 (3),5 (2),1 (1),1 (1),67 (5),75 (5),81 (4),49 (5),26 (5),6 (3),1 (1),1 (1)
1,KS,28 (5),1 (2),10 (4),5 (2),5 (3),0 (0),1 (1),66 (6),71 (6),83 (4),47 (6),30 (5),4 (2),2 (2),1 (1)
1,KY,29 (5),1 (1),7 (3),5 (2),4 (2),2 (2),1 (1),68 (5),73 (5),81 (4),43 (5),30 (5),5 (2),1 (1),0 (0)
1,LA,27 (5),1 (1),13 (4),5 (2),7 (3),1 (1),4 (2),64 (6),71 (6),78 (5),48 (6),29 (5),6 (3),2 (2),0 (0)
1,MA,24 (4),1 (1),7 (3),5 (2),4 (2),1 (1),2 (2),72 (5),76 (5),81 (4),65 (5),22 (4),7 (3),1 (1),0 (0)
1,MD,23 (6),1 (1),5 (2),5 (3),5 (3),2 (2),2 (1),75 (5),84 (4),80 (5),72 (6),21 (5),3 (3),1 (1),0 (0)
1,ME,29 (5),1 (1),7 (3),2 (2),3 (2),1 (1),1 (1),65 (6),80 (5),80 (5),47 (6),27 (5),4 (2),1 (1),1 (1)
1,MI,22 (4),1 (1),4 (2),3 (2),4 (2),1 (1),1 (1),75 (4),80 (4),81 (4),60 (5),21 (4),3 (2),1 (1),1 (1)
1,MN,28 (5),0 (0),9 (3),4 (2),3 (2),0 (0),3 (2),67 (5),76 (4),78 (4),44 (5),26 (5),5 (3),1 (1),1 (1)
1,MO,29 (5),1 (1),12 (4),8 (3),6 (3),0 (1),1 (1),57 (6),73 (5),80 (4),45 (5),32 (5),9 (3),2 (2),1 (1)
1,MS,33 (6),3 (2),15 (5),7 (3),4 (2),2 (2),0 (0),57 (7),64 (6),82 (5),54 (7),28 (6),6 (3),2 (1),1 (1)
1,MT,36 (7),1 (1),14 (6),7 (4),10 (5),2 (2),2 (2),51 (7),64 (7),70 (7),32 (7),42 (7),10 (4),2 (2),0 (0)
1,NC,27 (5),1 (1),10 (4),8 (3),10 (4),1 (1),2 (2),67 (5),71 (5),82 (4),44 (5),25 (5),5 (3),2 (1),0 (0)
1,ND,44 (12),1 (2),23 (12),9 (8),4 (4),0 (1),0 (0),46 (12),60 (12),68 (12),25 (10),42 (12),13 (9),3 (3),0 (1)
