Wave,End_Date,death_agg30,death_agg14,death_agg7,State,new_ind
mid_month,2020-03-15,0,0,0,Alabama,0
month_end,2020-03-31,0,0,0,Alabama,1
mid_month,2020-04-15,114,114,114,Alabama,2
1,2020-04-30,256,138,60,Alabama,3
2,2020-05-15,359,201,104,Alabama,4
month_end,2020-05-31,346,133,69,Alabama,5
3,2020-06-01,341,142,79,Alabama,6
mid_month,2020-06-15,290,143,81,Alabama,7
5,2020-06-28,328,146,81,Alabama,8
month_end,2020-06-30,311,155,88,Alabama,9
mid_month,2020-07-15,391,214,131,Alabama,10
7,2020-07-26,560,342,170,Alabama,11
month_end,2020-07-31,615,335,168,Alabama,12
mid_month,2020-08-15,682,313,158,Alabama,13
9,2020-08-26,564,190,101,Alabama,14
month_end,2020-08-31,582,264,149,Alabama,15
mid_month,2020-09-15,459,173,79,Alabama,16
10,2020-09-30,355,130,60,Alabama,17
mid_month,2020-10-15,351,166,105,Alabama,18
11,2020-10-23,386,206,87,Alabama,19
month_end,2020-10-31,392,146,73,Alabama,20
12,2020-11-14,525,299,182,Alabama,21
mid_month,2020-11-15,490,279,164,Alabama,22
13,2020-11-30,645,329,120,Alabama,23
mid_month,2020-12-15,856,524,210,Alabama,24
month_end,2020-12-31,1196,576,187,Alabama,25
14,2021-01-10,1265,614,427,Alabama,26
mid_month,2021-01-15,1821,1118,865,Alabama,27
month_end,2021-01-31,2739,1447,909,Alabama,28
mid_month,2021-02-15,3212,1554,727,Alabama,29
16,2021-02-28,2590,688,340,Alabama,30
mid_month,2021-03-15,1147,398,179,Alabama,31
month_end,2021-03-31,598,190,77,Alabama,32
mid_month,2021-04-15,399,174,76,Alabama,33
month_end,2021-04-30,360,151,63,Alabama,34
17,2021-05-03,306,123,62,Alabama,35
mid_month,2021-05-15,296,128,58,Alabama,36
month_end,2021-05-31,250,108,34,Alabama,37
mid_month,2021-06-15,236,128,57,Alabama,38
month_end,2021-06-30,192,57,27,Alabama,39
18,2021-07-15,154,76,41,Alabama,40
month_end,2021-07-31,158,68,38,Alabama,41
mid_month,2021-08-15,326,229,141,Alabama,42
month_end,2021-08-31,686,423,222,Alabama,43
mid_month,2021-09-15,920,435,298,Alabama,44
19,2021-09-27,1869,1346,812,Alabama,45
month_end,2021-09-30,1978,1416,535,Alabama,46
mid_month,2021-10-15,2383,802,426,Alabama,47
month_end,2021-10-31,1274,394,167,Alabama,48
mid_month,2021-11-15,839,408,147,Alabama,49
month_end,2021-11-30,543,135,43,Alabama,50
20,2021-12-02,570,118,41,Alabama,51
mid_month,2021-12-15,304,166,86,Alabama,52
month_end,2021-12-31,336,135,53,Alabama,53
mid_month,2022-01-15,337,186,56,Alabama,54
21,2022-01-24,408,202,92,Alabama,55
month_end,2022-01-31,631,352,260,Alabama,56
mid_month,2022-02-15,930,485,184,Alabama,57
month_end,2022-02-28,1178,654,292,Alabama,58
mid_month,2022-03-15,1319,665,321,Alabama,59
month_end,2022-03-31,1059,340,115,Alabama,60
22,2022-04-09,682,166,82,Alabama,61
mid_month,2022-04-15,532,185,101,Alabama,62
month_end,2022-04-30,283,65,26,Alabama,63
mid_month,2022-05-15,153,61,27,Alabama,64
month_end,2022-05-31,91,27,9,Alabama,65
mid_month,2022-06-15,67,31,19,Alabama,66
month_end,2022-06-30,82,44,18,Alabama,67
23,2022-07-05,102,69,32,Alabama,68
mid_month,2022-07-15,126,66,40,Alabama,69
month_end,2022-07-31,136,69,19,Alabama,70
mid_month,2022-08-15,204,135,52,Alabama,71
month_end,2022-08-31,157,22,7,Alabama,72
24,2022-09-11,213,191,79,Alabama,73
mid_month,2022-09-15,213,191,79,Alabama,74
month_end,2022-09-30,374,100,27,Alabama,75
mid_month,2022-10-15,266,83,32,Alabama,76
month_end,2022-10-31,136,53,25,Alabama,77
25,2022-11-09,85,25,0,Alabama,78
mid_month,2022-11-15,103,50,50,Alabama,79
month_end,2022-11-30,73,23,14,Alabama,80
mid_month,2022-12-15,96,52,22,Alabama,81
month_end,2022-12-31,85,33,0,Alabama,82
mid_month,2023-01-15,116,83,44,Alabama,83
26,2023-01-17,116,83,44,Alabama,84
month_end,2023-01-31,133,50,24,Alabama,85
mid_month,2023-02-15,72,22,10,Alabama,86
month_end,2023-02-28,62,40,33,Alabama,87
mid_month,2023-03-15,140,100,31,Alabama,88
month_end,2023-03-31,100,0,0,Alabama,89
mid_month,2023-04-15,0,0,0,Alabama,90
month_end,2023-04-30,0,0,0,Alabama,91
27,2023-05-05,0,0,0,Alabama,92
mid_month,2023-05-15,0,0,0,Alabama,93
month_end,2023-05-31,0,0,0,Alabama,94
mid_month,2020-03-15,0,0,0,Alaska,0
month_end,2020-03-31,0,0,0,Alaska,1
mid_month,2020-04-15,9,9,9,Alaska,2
1,2020-04-30,9,0,0,Alaska,3
2,2020-05-15,1,1,0,Alaska,4
month_end,2020-05-31,1,0,0,Alaska,5
3,2020-06-01,1,0,0,Alaska,6
mid_month,2020-06-15,2,2,2,Alaska,7
