State,Code,Political_aff
Alabama,AL,REP
Alaska,AK,REP
Arizona,AZ,IND
Arkansas,AR,REP
California,CA,DEM
Colorado,CO,DEM
Connecticut,CT,DEM
Delaware,DE,DEM
District of Columbia,DC,DEM
Florida,FL,REP
Georgia,GA,IND
Hawaii,HI,DEM
Idaho,ID,REP
Illinois,IL,DEM
Indiana,IN,REP
Iowa,IA,REP
Kansas,KS,REP
Kentucky,KY,REP
Louisiana,LA,REP
Maine,ME,DEM
Maryland,MD,DEM
Massachusetts,MA,DEM
Michigan,MI,IND
Minnesota,MN,DEM
Mississippi,MS,REP
Missouri,MO,REP
Montana,MT,REP
Nebraska,NE,REP
Nevada,NV,DEM
New Hampshire,NH,DEM
New Jersey,NJ,DEM
New Mexico,NM,DEM
New York,NY,DEM
North Carolina,NC,REP
North Dakota,ND,REP
Ohio,OH,REP
Oklahoma,OK,REP
Oregon,OR,DEM
Pennsylvania,PA,IND
Rhode Island,RI,DEM
South Carolina,SC,REP
South Dakota,SD,REP
Tennessee,TN,REP
Texas,TX,REP
Utah,UT,REP
Vermont,VT,DEM
Virginia,VA,DEM
Washington,WA,DEM
West Virginia,WV,REP
Wisconsin,WI,IND
Wyoming,WY,REP
