State,Date,New Deaths,7-Day Moving Avg,Wave
Massachusetts,Jan 23 2020,0,0,
Massachusetts,Jan 24 2020,0,0,
Massachusetts,Jan 25 2020,0,0,
Massachusetts,Jan 26 2020,0,0,
Massachusetts,Jan 27 2020,0,0,
Massachusetts,Jan 28 2020,0,0,
Massachusetts,Jan 29 2020,0,0,
Massachusetts,Jan 30 2020,0,0,
Massachusetts,Jan 31 2020,0,0,
Massachusetts,Feb 1 2020,0,0,
Massachusetts,Feb 2 2020,0,0,
Massachusetts,Feb 3 2020,0,0,
Massachusetts,Feb 4 2020,0,0,
Massachusetts,Feb 5 2020,0,0,
Massachusetts,Feb 6 2020,0,0,
Massachusetts,Feb 7 2020,0,0,
Massachusetts,Feb 8 2020,0,0,
Massachusetts,Feb 9 2020,0,0,
Massachusetts,Feb 10 2020,0,0,
Massachusetts,Feb 11 2020,0,0,
Massachusetts,Feb 12 2020,0,0,
Massachusetts,Feb 13 2020,0,0,
Massachusetts,Feb 14 2020,0,0,
Massachusetts,Feb 15 2020,0,0,
Massachusetts,Feb 16 2020,0,0,
Massachusetts,Feb 17 2020,0,0,
Massachusetts,Feb 18 2020,0,0,
Massachusetts,Feb 19 2020,0,0,
Massachusetts,Feb 20 2020,0,0,
Massachusetts,Feb 21 2020,0,0,
Massachusetts,Feb 22 2020,0,0,
Massachusetts,Feb 23 2020,0,0,
Massachusetts,Feb 24 2020,0,0,
Massachusetts,Feb 25 2020,0,0,
Massachusetts,Feb 26 2020,0,0,
Massachusetts,Feb 27 2020,0,0,
Massachusetts,Feb 28 2020,0,0,
Massachusetts,Feb 29 2020,0,0,
Massachusetts,Mar 1 2020,0,0,
Massachusetts,Mar 2 2020,0,0,
Massachusetts,Mar 3 2020,0,0,
Massachusetts,Mar 4 2020,0,0,
Massachusetts,Mar 5 2020,0,0,
Massachusetts,Mar 6 2020,0,0,
Massachusetts,Mar 7 2020,0,0,
Massachusetts,Mar 8 2020,0,0,
Massachusetts,Mar 9 2020,0,0,
