Wave,End_Date,state,Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus, or train)",Been in a room with someone outside of household in the past 24 hours,Been in a room with 5-10 people outside of household in the past 24 hours,Been in a room with 11-50 people outside of household in the past 24 hours,Been in a room with over 50 people outside of household in the past 24 hours,Total_N,new_ind
interpolation,2020-03-31,AL,,,,,,,,,,,,,,,,,0
interpolation,2020-04-15,AL,,,,,,,,,,,,,,,,,1
1,2020-04-30,AL,67.99352412513285,76.27524076726918,80.83774899799239,51.93882492594752,26.313839550847582,2.6106583996850357,11.484011078731358,8.442394323885484,6.960773096923605,3.229921755610558,0.4224809629405459,30.520465433465983,6.70419055970681,1.2198009592769927,0.999082032544092,465.0,2
interpolation,2020-05-15,AL,64.18495736338193,74.70340388656383,80.34166030842174,55.874231521634705,20.524786847322314,1.6053163513424815,14.010672824659043,3.7912914176326584,9.00489748070519,4.230933904572293,0.6762871655659282,25.061492495323545,4.6389677482855225,2.0129261517719437,2.360998886495565,,3
2,2020-05-21,AL,59.86844347400291,70.96902902491644,80.06194954559366,54.674224471016295,24.137379713397067,1.4872163295453702,16.511663226850878,7.032939629022754,9.13646288074523,4.0328669775716905,0.5106819701828229,30.03120817681348,6.510302927965657,2.369811097005652,1.9368033169247776,436.0,4
interpolation,2020-05-31,AL,50.28074642583497,61.81776183917742,79.38484566539431,50.145141710793574,35.59228220465444,1.6897252842753905,21.917867469678296,17.253199533253646,8.752924687808394,3.324579455465987,0.02223790010735201,45.10575376023866,12.110427318360573,2.9710221924484896,0.359060458425708,,5
3,2020-06-01,AL,49.53232488274608,61.03177833563118,79.26761968343378,49.841383825224064,36.43065018283871,1.749998667561938,22.330800302264052,18.066368847090377,8.76037954513841,3.351861727604742,0.0,46.33510032389603,12.534129450940782,3.0173037888657115,0.2583452252883524,396.0,6
gap3_5,2020-06-11,AL,45.87437733487545,55.981642963476766,77.43929997402665,49.779701248232,38.61506851643127,2.8107097474934895,24.20540812370157,21.62775420156049,9.69396461803806,5.176120269729649,0.23306501541637437,52.42381998105129,13.997772874802887,3.276105069904621,0.3590803195321303,,7
interpolation,2020-06-15,AL,46.35019125181322,55.38762142623853,76.37735113146506,51.263306074331105,36.351584692369514,3.466700054517929,23.81280186107279,20.737107743531517,10.50254265048346,6.689021590470213,0.5566732808114659,51.71491231746036,13.179099382421455,3.2765368441229556,0.9597983611830205,,8
5,2020-06-28,AL,49.1153251099804,55.94212389145655,74.0526361569765,57.19073227317519,30.1196527634744,5.470668970499683,21.92657305910161,16.996087464946406,13.273689397742896,9.922205327018904,1.4506904681895705,47.3700451523885,10.578195731182138,3.4284924171295437,2.5351021795439457,416.0,9
interpolation,2020-06-30,AL,49.513226854788655,56.27052038031282,73.92084230510368,58.10738587338103,29.718565003456224,5.730333406214428,21.67045865519362,16.554283671699103,13.672262039722483,10.047860851593141,1.5348256784796832,46.735509987612765,10.354154767475185,3.4890237063053164,2.6486382022709165,,10
gap5_7,2020-07-09,AL,51.213023274762094,58.55049635720408,74.07309017062059,62.24797526941953,29.75398437767655,6.738316401291005,20.630390158019754,15.007501302728743,15.374238760093071,9.386511430870538,1.7371946697659875,43.99199134001397,9.927094027344,3.8840210863499256,2.734449548681128,,11
interpolation,2020-07-15,AL,52.18614334416489,60.60699320297561,74.73752166172207,64.9566190126716,31.240899162145077,7.236465567894494,20.055010326540465,14.371945249043533,16.37116433446754,8.021455813642628,1.7278874000213826,42.351315171370466,10.129058197986895,4.234711294164637,2.4527737301622863,,12
7,2020-07-26,AL,52.32929195278777,62.24090159794382,75.19185432852122,68.70216727707195,33.47019803757575,7.317553157461519,19.511399046014667,13.934659161469249,16.99426268084714,6.822154097439277,1.6809959193768411,41.195694295478255,10.808482018122405,4.6526363454549395,2.034622234294394,440.0,13
interpolation,2020-07-31,AL,51.63153114008716,61.91846842766324,74.9817067645333,69.83089138282715,34.106539468079674,6.976494567804582,19.495393069447644,14.042916442440797,16.719444934378128,6.984473514695319,1.659468162356017,41.530769694478074,11.216924982089465,4.727439145349468,1.923898497412982,,14
gap7_9,2020-08-06,AL,50.16488476613484,60.65282560973201,74.38578319740807,70.7119770978313,34.55914378656362,6.2554430776616465,19.666835197096592,14.426119719248533,15.929277117886018,7.7629084782150555,1.6334587596305514,42.642655205912256,11.789238051571944,4.722192920902022,1.8564897411785821,,15
interpolation,2020-08-15,AL,47.07267840365655,57.41647683751214,73.01216156389646,71.18791000759924,34.659733002674166,4.71223423439675,20.181112461099936,15.423014219497029,14.036074238915091,9.808721702924664,1.5889954652794982,45.40596237045856,12.655622144858011,4.605412924507634,1.8805278008449537,,16
9,2020-08-26,AL,45.00446500728476,54.962383531335824,72.34130832097017,71.37365394918585,34.30358753450953,3.484796684650858,20.16423091365487,16.560002121519464,12.441335594399286,11.210962389313616,1.4849964708083825,47.71316634988344,12.443983664049986,4.969669446718599,2.0438001648459756,524.0,17
interpolation,2020-08-31,AL,44.86217593111083,54.59708998998925,72.50220758242281,71.36858416281648,33.99319175561654,3.2446680306097604,19.86280644167987,17.00452833593095,12.081861175695597,11.308701160546732,1.4174060719676072,48.21435347757699,11.814572394592668,5.357567342693333,2.162816971648568,,18
gap9_10,2020-09-03,AL,45.01614486205954,54.602974889983194,72.73849690540195,71.33869263577678,33.762400845726205,3.1959300896653944,19.593826446099424,17.249558124080046,11.975798559478068,11.205451415603497,1.3707563940751528,48.35080316803416,11.276962044918541,5.657004105132734,2.2476676844980346,,19
interpolation,2020-09-15,AL,47.29918486133424,56.209286778189714,74.6524742236774,71.0619500734458,32.58168953623444,3.693868996248113,17.9259484550905,18.076546370112954,12.351003062978721,9.66176983028201,1.1418604607467677,47.75013208364664,8.05706657675626,7.312736989321592,2.666693128052141,,20
10,2020-09-30,AL,48.21239653114963,57.097664085604194,75.69579766540117,72.32909506701564,33.935158282699334,4.889456287267521,17.57888707218501,19.189094436949905,13.608174280873747,8.904547353471381,0.9126980556147098,48.224466048108376,7.423066988940639,8.532775059008813,2.4270212645086437,457.0,21
interpolation,2020-10-15,AL,44.756447900209565,54.80832731751199,73.82141761468917,76.01003745936218,39.46927163345161,6.376656991233763,20.363994539849365,20.56255245780418,15.241927562103385,10.995484974210317,0.8119024301435371,51.44989359480105,12.790572571154991,8.003243316967822,1.017457677425769,,22
11,2020-10-23,AL,44.245273475264305,53.84396738846594,73.1499754981703,76.61500858747162,39.70863694060996,8.166203694325027,21.51718444107174,21.24714991181577,15.880425651084016,12.129364722090772,0.7798161815144755,51.41800000225138,14.75321546559817,7.375491961257648,0.7011192512864688,366.0,23
interpolation,2020-10-31,AL,46.07152613360414,53.76204330762809,73.39508122642435,75.21418196093042,36.060942766440334,11.045698517759607,21.709592308301644,21.82847618323883,16.181952757877404,12.757867649260733,0.7488642891457868,48.865668657080526,14.572402885324278,6.674917678443595,1.101087060252769,,24
