Wave,month_intervals,End_Date,death_agg30,death_agg14,death_agg7,State,new_ind
interpolation,month_end,2020-03-31,0,0,0,Alabama,0
interpolation,mid_month,2020-04-15,114,114,114,Alabama,1
1,month_end,2020-04-30,256,138,60,Alabama,2
interpolation,mid_month,2020-05-15,359,201,104,Alabama,3
2,from wave,2020-05-21,359,179,72,Alabama,4
interpolation,month_end,2020-05-31,346,133,69,Alabama,5
3,from wave,2020-06-01,341,142,79,Alabama,6
gap3_5,from wave,2020-06-11,341,161,91,Alabama,7
interpolation,mid_month,2020-06-15,290,143,81,Alabama,8
5,from wave,2020-06-28,328,146,81,Alabama,9
interpolation,month_end,2020-06-30,311,155,88,Alabama,10
gap5_7,from wave,2020-07-09,340,167,86,Alabama,11
interpolation,mid_month,2020-07-15,391,214,131,Alabama,12
7,from wave,2020-07-26,560,342,170,Alabama,13
interpolation,month_end,2020-07-31,615,335,168,Alabama,14
gap7_9,from wave,2020-08-06,688,331,157,Alabama,15
interpolation,mid_month,2020-08-15,682,313,158,Alabama,16
9,from wave,2020-08-26,564,190,101,Alabama,17
interpolation,month_end,2020-08-31,582,264,149,Alabama,18
gap9_10,from wave,2020-09-03,584,273,172,Alabama,19
interpolation,mid_month,2020-09-15,459,173,79,Alabama,20
10,month_end,2020-09-30,355,130,60,Alabama,21
interpolation,mid_month,2020-10-15,351,166,105,Alabama,22
11,from wave,2020-10-23,386,206,87,Alabama,23
interpolation,month_end,2020-10-31,392,146,73,Alabama,24
12,from wave,2020-11-14,525,299,182,Alabama,25
interpolation,mid_month,2020-11-15,490,279,164,Alabama,26
13,month_end,2020-11-30,645,329,120,Alabama,27
gap13_14,mid_month,2020-12-15,856,524,210,Alabama,28
interpolation,month_end,2020-12-31,1196,576,187,Alabama,29
14,from wave,2021-01-12,1245,635,469,Alabama,30
interpolation,mid_month,2021-01-15,1821,1118,865,Alabama,31
interpolation,month_end,2021-01-31,2739,1447,909,Alabama,32
gap14_16,from wave,2021-02-04,3325,1920,1031,Alabama,33
interpolation,mid_month,2021-02-15,3212,1554,727,Alabama,34
16,month_end,2021-02-28,2590,688,340,Alabama,35
interpolation,mid_month,2021-03-15,1147,398,179,Alabama,36
gap16_17,month_end,2021-03-31,598,190,77,Alabama,37
interpolation,mid_month,2021-04-15,399,174,76,Alabama,38
interpolation,month_end,2021-04-30,360,151,63,Alabama,39
17,from wave,2021-05-03,306,123,62,Alabama,40
interpolation,mid_month,2021-05-15,296,128,58,Alabama,41
interpolation,month_end,2021-05-31,250,108,34,Alabama,42
gap17_18,from wave,2021-06-08,239,105,71,Alabama,43
interpolation,mid_month,2021-06-15,236,128,57,Alabama,44
interpolation,month_end,2021-06-30,192,57,27,Alabama,45
18,mid_month,2021-07-15,154,76,41,Alabama,46
interpolation,month_end,2021-07-31,158,68,38,Alabama,47
interpolation,mid_month,2021-08-15,326,229,141,Alabama,48
gap18_19,from wave,2021-08-25,517,352,168,Alabama,49
interpolation,month_end,2021-08-31,686,423,222,Alabama,50
interpolation,mid_month,2021-09-15,920,435,298,Alabama,51
19,from wave,2021-09-28,1806,1347,815,Alabama,52
interpolation,month_end,2021-09-30,1978,1416,535,Alabama,53
interpolation,mid_month,2021-10-15,2383,802,426,Alabama,54
interpolation,month_end,2021-10-31,1274,394,167,Alabama,55
gap19_20,from wave,2021-11-02,1104,394,166,Alabama,56
interpolation,mid_month,2021-11-15,839,408,147,Alabama,57
interpolation,month_end,2021-11-30,543,135,43,Alabama,58
20,from wave,2021-12-02,570,118,41,Alabama,59
interpolation,mid_month,2021-12-15,304,166,86,Alabama,60
gap20_21,from wave,2021-12-21,280,168,88,Alabama,61
interpolation,month_end,2021-12-31,336,135,53,Alabama,62
interpolation,mid_month,2022-01-15,337,186,56,Alabama,63
21,from wave,2022-01-25,408,202,92,Alabama,64
interpolation,month_end,2022-01-31,631,352,260,Alabama,65
interpolation,mid_month,2022-02-15,930,485,184,Alabama,66
interpolation,month_end,2022-02-28,1178,654,292,Alabama,67
gap21_22,from wave,2022-03-01,1139,654,292,Alabama,68
interpolation,mid_month,2022-03-15,1319,665,321,Alabama,69
interpolation,month_end,2022-03-31,1059,340,115,Alabama,70
22,from wave,2022-04-09,682,166,82,Alabama,71
