mnth_yr,state_code,monthly_hospitalization
2020-08,AK,127.0
2020-08,AL,3284.0
2020-08,AR,1748.0
2020-08,AZ,2891.0
2020-08,CA,16255.0
2020-08,CO,915.0
2020-08,CT,318.0
2020-08,DC,402.0
2020-08,DE,163.0
2020-08,FL,16788.0
2020-08,GA,7330.0
2020-08,GU,79.0
2020-08,HI,916.0
2020-08,IA,1327.0
2020-08,ID,561.0
2020-08,IL,3121.0
2020-08,IN,2082.0
2020-08,KS,829.0
2020-08,KY,6078.0
2020-08,LA,3984.0
2020-08,MA,585.0
2020-08,MD,1572.0
2020-08,ME,36.0
2020-08,MI,2477.0
2020-08,MN,912.0
2020-08,MO,2510.0
2020-08,MP,0.0
2020-08,MS,3013.0
2020-08,MT,418.0
2020-08,NC,5096.0
2020-08,ND,272.0
2020-08,NE,283.0
2020-08,NH,479.0
2020-08,NJ,650.0
2020-08,NM,412.0
2020-08,NV,1811.0
2020-08,NY,2525.0
2020-08,OH,2559.0
2020-08,OK,2228.0
2020-08,OR,379.0
2020-08,PA,2195.0
2020-08,PR,643.0
2020-08,RI,176.0
2020-08,Region 1,1618.0
2020-08,Region 10,1807.0
2020-08,Region 2,3846.0
2020-08,Region 3,6431.0
2020-08,Region 4,48545.0
2020-08,Region 5,13170.0
2020-08,Region 6,26891.0
2020-08,Region 7,4949.0
2020-08,Region 8,2723.0
2020-08,Region 9,21952.0
2020-08,SC,3145.0
2020-08,SD,388.0
2020-08,TN,3811.0
2020-08,TX,18519.0
2020-08,USA,131932.0
2020-08,UT,526.0
2020-08,VA,1689.0
2020-08,VI,28.0
2020-08,VT,24.0
2020-08,WA,740.0
2020-08,WI,2019.0
2020-08,WV,410.0
2020-08,WY,204.0
2020-09,AK,147.0
2020-09,AL,3232.0
2020-09,AR,1648.0
2020-09,AZ,1618.0
2020-09,CA,9405.0
2020-09,CO,676.0
2020-09,CT,337.0
2020-09,DC,319.0
2020-09,DE,213.0
2020-09,FL,9183.0
2020-09,GA,5852.0
2020-09,GU,131.0
2020-09,HI,1029.0
2020-09,IA,1484.0
2020-09,ID,477.0
2020-09,IL,3323.0
2020-09,IN,2525.0
2020-09,KS,1110.0
2020-09,KY,6386.0
2020-09,LA,2321.0
2020-09,MA,782.0
2020-09,MD,1347.0
2020-09,ME,33.0
2020-09,MI,1445.0
2020-09,MN,1294.0
2020-09,MO,3232.0
2020-09,MP,0.0
2020-09,MS,1937.0
2020-09,MT,743.0
2020-09,NC,2945.0
2020-09,ND,447.0
2020-09,NE,532.0
2020-09,NH,144.0
2020-09,NJ,797.0
2020-09,NM,330.0
2020-09,NV,1166.0
2020-09,NY,2644.0
2020-09,OH,2711.0
2020-09,OK,2821.0
2020-09,OR,334.0
2020-09,PA,1613.0
2020-09,PR,712.0
2020-09,RI,120.0
2020-09,Region 1,1428.0
2020-09,Region 10,1717.0
2020-09,Region 2,4157.0
2020-09,Region 3,5770.0
2020-09,Region 4,34602.0
