Wave,month_intervals,Start_Date,End_Date,wave_lengths
gap,month_end,,2020-03-31,
gap,mid_month,,2020-04-15,
1,month_end,2020-04-16,2020-04-30,14.0
gap,mid_month,,2020-05-15,
2,from wave,2020-05-01,2020-05-21,20.0
gap,month_end,,2020-05-31,
3,from wave,2020-05-16,2020-06-01,16.0
gap3_5,from wave,2020-06-02,2020-06-11,9.0
gap,mid_month,,2020-06-15,
5,from wave,2020-06-12,2020-06-28,16.0
gap,month_end,,2020-06-30,
gap5_7,from wave,2020-06-29,2020-07-09,10.0
gap,mid_month,,2020-07-15,
7,from wave,2020-07-10,2020-07-26,16.0
gap,month_end,,2020-07-31,
gap7_9,from wave,2020-07-27,2020-08-06,10.0
gap,mid_month,,2020-08-15,
9,from wave,2020-08-07,2020-08-26,19.0
gap,month_end,,2020-08-31,
gap9_10,from wave,2020-08-27,2020-09-03,7.0
gap,mid_month,,2020-09-15,
10,month_end,2020-09-04,2020-09-30,26.0
gap,mid_month,,2020-10-15,
11,from wave,2020-10-02,2020-10-23,21.0
gap,month_end,,2020-10-31,
12,from wave,2020-10-23,2020-11-14,22.0
gap,mid_month,,2020-11-15,
13,month_end,2020-11-03,2020-11-30,27.0
gap13_14,mid_month,2020-12-01,2020-12-15,14.0
gap,month_end,,2020-12-31,
14,from wave,2020-12-16,2021-01-12,27.0
gap,mid_month,,2021-01-15,
gap,month_end,,2021-01-31,
gap14_16,from wave,2021-01-13,2021-02-04,22.0
gap,mid_month,,2021-02-15,
16,month_end,2021-02-05,2021-02-28,23.0
gap,mid_month,,2021-03-15,
gap16_17,month_end,2021-03-01,2021-03-31,30.0
gap,mid_month,,2021-04-15,
gap,month_end,,2021-04-30,
17,from wave,2021-04-01,2021-05-03,32.0
gap,mid_month,,2021-05-15,
gap,month_end,,2021-05-31,
gap17_18,from wave,2021-05-04,2021-06-08,35.0
gap,mid_month,,2021-06-15,
gap,month_end,,2021-06-30,
18,mid_month,2021-06-09,2021-07-15,36.0
gap,month_end,,2021-07-31,
gap,mid_month,,2021-08-15,
gap18_19,from wave,2021-07-16,2021-08-25,40.0
gap,month_end,,2021-08-31,
gap,mid_month,,2021-09-15,
19,from wave,2021-08-26,2021-09-28,33.0
gap,month_end,,2021-09-30,
gap,mid_month,,2021-10-15,
gap,month_end,,2021-10-31,
gap19_20,from wave,2021-09-29,2021-11-02,34.0
gap,mid_month,,2021-11-15,
gap,month_end,,2021-11-30,
20,from wave,2021-11-03,2021-12-02,29.0
gap,mid_month,,2021-12-15,
gap20_21,from wave,2021-12-03,2021-12-21,18.0
gap,month_end,,2021-12-31,
gap,mid_month,,2022-01-15,
21,from wave,2021-12-22,2022-01-25,34.0
gap,month_end,,2022-01-31,
gap,mid_month,,2022-02-15,
gap,month_end,,2022-02-28,
gap21_22,from wave,2022-01-25,2022-03-01,35.0
gap,mid_month,,2022-03-15,
gap,month_end,,2022-03-31,
22,from wave,2022-03-02,2022-04-09,38.0
gap,mid_month,,2022-04-15,
gap,month_end,,2022-04-30,
gap,mid_month,,2022-05-15,
gap,month_end,,2022-05-31,
gap22_23,from wave,2022-04-10,2022-06-07,58.0
gap,mid_month,,2022-06-15,
gap,month_end,,2022-06-30,
23,from wave,2022-06-08,2022-07-06,28.0
gap,mid_month,,2022-07-15,
gap,month_end,,2022-07-31,
gap23_24,from wave,2022-07-07,2022-08-10,34.0
gap,mid_month,,2022-08-15,
gap,month_end,,2022-08-31,
24,from wave,2022-08-11,2022-09-11,31.0
gap,mid_month,,2022-09-15,
gap,month_end,,2022-09-30,
gap24_25,from wave,2022-09-12,2022-10-05,23.0
gap,mid_month,,2022-10-15,
gap,month_end,,2022-10-31,
25,from wave,2022-10-06,2022-11-09,34.0
gap,mid_month,,2022-11-15,
gap,month_end,,2022-11-30,
gap,mid_month,,2022-12-15,
gap25_26,from wave,2022-11-10,2022-12-21,41.0
gap,month_end,,2022-12-31,
gap,mid_month,,2023-01-15,
26,from wave,2022-12-22,2023-01-17,26.0
gap,month_end,,2023-01-31,
gap,mid_month,,2023-02-15,
gap,month_end,,2023-02-28,
gap,mid_month,,2023-03-15,
gap,month_end,,2023-03-31,
gap26_27,from wave,2023-01-18,2023-04-04,76.0
gap,mid_month,,2023-04-15,
gap,month_end,,2023-04-30,
27,from wave,2023-04-05,2023-05-05,30.0
gap,mid_month,,2023-05-15,
gap,month_end,,2023-05-31,
