Wave,Start_date,End_date,state,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus, or train)",Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,Been in a room with someone outside of household in the past 24 hours,Been in a room with 5-10 people outside of household in the past 24 hours,Been in a room with 11-50 people outside of household in the past 24 hours,Been in a room with over 50 people outside of household in the past 24 hours,Start_Date,End_Date,N_national,N_state
1,4/16/2020,4/30/2020,AL,27.45,2.38,11.48,7.84,6.12,2.48,0.09,66.98,76.52,80.81,50.37,31.46,5.91,1.18,1.01,04/16/2020 UTC,04/30/2020,19489.0,420.0
1_gap,5/1/2020,5/1/2020,AL,,,,,,,,,,,,,,,,,,,
2,5/2/2020,5/15/2020,AL,24.94,0.91,15.72,7.94,7.1,3.95,0.43,59.26,70.26,79.81,54.65,32.32,6.35,2.22,2.05,05/02/2020 UTC,05/15/2020,20305.0,383.0
3,5/16/2020,6/1/2020,AL,34.03,1.31,18.32,16.85,6.31,3.99,0.0,51.19,61.27,77.53,48.89,44.92,12.24,3.21,0.27,05/16/2020 UTC,06/01/2020,18103.0,356.0
3_gap,6/2/2020,6/11/2020,AL,,,,,,,,,,,,,,,,,,,
5,6/12/2020,6/28/2020,AL,29.78,3.81,20.68,16.77,12.29,9.28,0.71,47.98,55.98,76.76,58.98,48.25,11.07,3.84,1.72,06/12/2020 UTC,06/28/2020,22470.0,413.0
5_gap,6/29/2020,7/9/2020,AL,,,,,,,,,,,,,,,,,,,
7,7/10/2020,4/27/2020,AL,33.81,6.23,18.91,13.98,16.57,6.94,0.92,52.18,61.37,75.87,68.93,41.89,11.39,4.84,1.84,07/10/2020 UTC,07/27/2020,19058.0,436.0
7_gap,7/28/2020,8/6/2020,AL,,,,,,,,,,,,,,,,,,,
9,8/7/2020,8/29/2020,AL,35.11,3.74,17.96,14.94,12.7,10.73,1.37,45.72,55.6,73.88,71.28,47.11,13.22,4.79,2.12,08/07/2020 UTC,08/26/2020,21196.0,518.0
9_gap,8/27/2020,9/2/2020,AL,,,,,,,,,,,,,,,,,,,
10,9/4/2020,9/28/2020,AL,32.41,5.14,17.68,19.09,12.64,7.74,0.9,46.95,56.89,74.26,71.65,47.34,9.58,8.51,1.78,09/04/2020 UTC,09/28/2020,20315.0,426.0
10_gap,9/29/2020,10/1/2020,AL,,,,,,,,,,,,,,,,,,,
11_12,10/2/2020,11/3/2020,AL,38.18,11.25,20.32,21.07,16.6,13.27,1.01,47.0,54.4,72.66,75.47,47.34,13.95,4.69,1.37,10/02/2020 UTC,11/04/2020,27342.0,515.0
13,11/4/2020,12/1/2020,AL,38.64,8.26,18.83,19.65,17.23,7.59,1.36,39.74,47.44,70.96,76.05,50.02,12.12,3.4,2.64,11/03/2020 UTC,12/01/2020,24017.0,443.0
13_gap,12/2/2020,12/15/2020,AL,,,,,,,,,,,,,,,,,,,
14,12/16/2020,1/11/2021,AL,28.22,3.58,13.64,13.57,9.07,7.07,1.3,50.26,54.47,75.27,80.87,36.9,9.26,2.51,2.38,12/16/2020 UTC,01/11/2021,25640.0,453.0
14_gap,1/12/2021,2/4/2021,AL,,,,,,,,,,,,,,,,,,,
16,2/5/2021,3/1/2021,AL,35.39,5.9,16.18,15.03,12.62,10.81,2.18,47.15,52.8,74.87,82.67,42.5,9.29,4.3,1.16,02/05/2021 UTC,03/01/2021,21500.0,376.0
